Grouping;no;SourceRoom;Exist;Doors;Rooms;PathLength;SimulationTimeInSec
1;1;1;501;2;3;6,66;12
1;1;1;502;2;3;8,72;13
1;1;1;503;5;6;33,91;41
1;1;1;504;5;6;33,91;42
1;1;1;505;9;10;49,81;65
1;1;1;506;9;10;50,98;64
1;1;1;507;12;13;63,35;83
1;1;19;501;5;6;26,31;35
1;1;19;502;4;5;23,77;27
1;1;19;503;1;2;6,5;9
1;1;19;504;1;2;6,5;7
1;1;19;505;5;6;22,4;31
1;1;19;506;5;6;23,57;30
1;1;46;503;6;7;34,09;51
1;1;46;504;6;7;34,09;42
1;1;46;505;4;5;16,97;22
1;1;46;507;5;6;20,51;17,5
1;2;1;501;2;3;6,66;13,5
1;2;1;502;2;3;8,72;13
1;2;1;503;5;6;33,91;41,5
1;2;1;504;5;6;33,91;42,5
1;2;1;505;9;10;49,81;65
1;2;1;506;9;10;50,98;64
1;2;1;507;12;13;63,35;84,5
1;2;19;501;5;6;26,31;35,5
1;2;19;502;4;5;23,77;28
1;2;19;503;1;2;6,5;8,5
1;2;19;504;1;2;6,5;7
1;2;19;505;5;6;22,4;30,5
1;2;19;506;5;6;23,57;30
1;2;19;507;8;9;35,94;49
1;2;46;501;10;11;53,9;73,5
1;2;46;502;9;10;51,36;66
1;2;46;503;6;7;34,09;41,5
1;2;46;504;6;7;34,09;43
1;2;46;505;4;5;16,97;22,5
1;2;46;506;2;3;8,14;12,5
1;2;46;507;5;6;20,51;23
1;3;1;501;2;3;6,66;13
1;3;1;502;2;3;8,72;13
1;3;1;503;5;6;33,91;41
1;3;1;504;5;6;33,91;43
1;3;1;505;9;10;49,81;6
1;3;1;506;9;10;50,98;6
1;3;1;507;12;13;63,35;8
1;3;19;501;5;6;26,31;36
1;3;19;502;4;5;23,77;28
1;3;19;503;1;2;6,5;8
1;3;19;504;1;2;6,5;7
1;3;19;505;5;6;22,4;30
1;3;19;506;5;6;23,57;30
1;3;19;507;8;9;35,94;48
1;3;46;501;10;11;53,9;75
1;3;46;502;9;10;51,36;60
1;3;46;503;6;7;34,09;36
1;3;46;504;6;7;34,09;43
1;3;46;505;4;5;16,97;23
1;3;46;506;2;3;8,14;12
1;3;46;507;5;6;20,51;23
1;4;1;501;2;3;6,66;13,75
1;4;1;502;2;3;8,72;13,75
1;4;1;503;5;6;33,91;42,25
1;4;1;504;5;6;33,91;43,75
1;4;1;505;9;10;49,81;66,25
1;4;1;506;9;10;50,98;6
1;4;1;507;12;13;63,35;87
1;4;19;501;5;6;26,31;37,25
1;4;19;502;4;5;23,77;29
1;4;19;503;1;2;6,5;9
1;4;19;504;1;2;6,5;7,5
1;4;19;505;5;6;22,4;29,75
1;4;19;506;5;6;23,57;29,75
1;4;19;507;8;9;35,94;48,5
1;4;46;501;10;11;53,9;76
1;4;46;502;9;10;51,36;58,25
1;4;46;503;6;7;34,09;36
